Latitude,Longitude
40.84624641081894,-73.94261085719263
40.85709346450945,-73.93244342839955
40.84604758805665,-73.9402400014605
40.85248771963391,-73.9276947480756
40.84984066373091,-73.93496654033319
40.86922407167794,-73.92220248436887
40.86914717879724,-73.92214110867016
40.86914717879724,-73.92214110867016
40.85358286292522,-73.93222649249064
40.86914717879724,-73.92214110867016
40.84604758805665,-73.9402400014605
40.857987949808134,-73.9319544921136
40.86902117841238,-73.9225208963145
40.85825579173524,-73.93473417962548
40.85671480582819,-73.93263179046106
40.85825579173524,-73.93473417962548
40.85671480582819,-73.93263179046106
40.85481372394093,-73.92970207470789
40.85671480582819,-73.93263179046106
40.85481372394093,-73.92970207470789
40.86187845400225,-73.92948853877418
40.87146121855882,-73.91474418432799
40.87122025204443,-73.91551464590012
40.86848323435348,-73.91855883540413
40.867782242243365,-73.92093149660451
40.85827331744331,-73.93181682879847
40.8498946126499,-73.93331100990974
40.86426072138255,-73.92082360738061
40.868496405044674,-73.921726077595
40.8531856542182,-73.93850573342334
40.870436053747305,-73.91659312005679
40.86821951872901,-73.91824098763226
40.86821951872901,-73.91824098763226
40.84536978963485,-73.9405189140908
40.866760994898165,-73.92061093162097
40.866456912730875,-73.9214573171432
40.868253571269136,-73.91983180031762
40.87194282198552,-73.91649721977907
40.857943024604346,-73.93496223265109
40.87092281330082,-73.91791586438526
40.85358286292522,-73.93222649249064
40.86848323435348,-73.91855883540413
40.86456038961465,-73.92154994150562
40.84515848454456,-73.94059138948407
40.8506856739921,-73.9343331551165
40.86456038961465,-73.92154994150562
40.85358286292522,-73.93222649249064
40.859754227509825,-73.92976915486484
40.86456038961465,-73.92154994150562
40.86456038961465,-73.92154994150562
40.85358286292522,-73.93222649249064
40.85358286292522,-73.93222649249064
40.86456038961465,-73.92154994150562
40.85482841856661,-73.93131428153016
40.86822455509854,-73.92154200316763
40.86456038961465,-73.92154994150562
40.87136253230875,-73.91871801754282
40.86902388181961,-73.92245942761978
40.86356518841314,-73.92322139496197
40.86456038961465,-73.92154994150562
40.859400721013536,-73.93069499296124
40.868496405044674,-73.921726077595
40.868496405044674,-73.921726077595
40.868496405044674,-73.921726077595
40.85255128587805,-73.93296494740626
40.84434242860346,-73.93393100337053
40.84516398512291,-73.94061307050866
40.84993120836548,-73.93491223307633
40.86187845400225,-73.92948853877418
40.8614995374538,-73.92924672138538
40.86187845400225,-73.92948853877418
40.84067787174882,-73.93821371259875
40.84984066373091,-73.93496654033319
40.86453965413356,-73.92336850033719
40.86655695619762,-73.92753844657459
40.86701519865037,-73.92310894630785
40.86701519865037,-73.92310894630785
40.86701519865037,-73.92310894630785
40.86320869920145,-73.92370625728256
40.86701519865037,-73.92310894630785
40.87147770232854,-73.91856601509859
40.85670361074392,-73.93711072498273
40.86456038961465,-73.92154994150562
40.85780037758186,-73.93509974251326
40.85255128587805,-73.93296494740626
40.85670361074392,-73.93711072498273
40.86356518841314,-73.92322139496197
40.86426072138255,-73.92082360738061
40.836748430729926,-73.94007850271866
40.83694606296753,-73.94010362185068
40.83780345280487,-73.9421411024755
40.837102715308745,-73.94049739427108
40.83780345280487,-73.9421411024755
40.85783978717273,-73.93204140398764
40.8371686702629,-73.94065634637518
